source_id,external_id,external_name,external_name_norm,registry_status,source_url,match_method,evidence_strength,rut,entity_id,error
donatarias_21440,1323,FUNDACIÓN TRAMA RELACIONAL,FUNDACION TRAMA RELACIONAL,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1323,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65278728-2,ENT-RUT-65278728-2,
donatarias_21440,1322,FUNDACION TE CUIDO,FUNDACION TE CUIDO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1322,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65209138-5,ENT-RUT-65209138-5,
donatarias_21440,1321,FUNDACIÓN SOMOS PARTE,FUNDACION SOMOS PARTE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1321,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65175138-1,ENT-RUT-65175138-1,
donatarias_21440,1320,FUNDACIÓN SABORES DEL FUTURO,FUNDACION SABORES DEL FUTURO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1320,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65256675-8,ENT-RUT-65256675-8,
donatarias_21440,1319,FUNDACION QUEBRADA DEL ALTO,FUNDACION QUEBRADA DEL ALTO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1319,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65242405-8,ENT-RUT-65242405-8,
donatarias_21440,1317,FUNDACION MAS QUE UN NOMBRE,FUNDACION MAS QUE UN NOMBRE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1317,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65261701-8,ENT-RUT-65261701-8,
donatarias_21440,1316,FUNDACION LOICA POR LA EDUCACION CONSERVACION ARTE Y TERRITORIO,FUNDACION LOICA POR LA EDUCACION CONSERVACION ARTE Y TERRITORIO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1316,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65253887-8,ENT-RUT-65253887-8,
donatarias_21440,1314,FUNDACION ESCUELA PARA NIÑAS DE MONTAÑA REBELDE,FUNDACION ESCUELA PARA NINAS DE MONTANA REBELDE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1314,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65271991-0,ENT-RUT-65271991-0,
donatarias_21440,1310,FUNDACIÓN CORAZONES QUE ACOMPAÑAN,FUNDACION CORAZONES QUE ACOMPANAN,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1310,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65259087-K,ENT-RUT-65259087-K,
donatarias_21440,1308,FUNDACIÓN CAMINEMOS JUNTOS POR UNA EDUCACIÓN,FUNDACION CAMINEMOS JUNTOS POR UNA EDUCACION,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1308,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65239434-5,ENT-RUT-65239434-5,
